[2026-05-22T10:00:00Z] BLOCKED | pattern="Recursive force delete (rm -rf)" | project="/home/user/projects/api" | command="rm -rf /tmp/cache"
[2026-05-22T10:00:14Z] BLOCKED | pattern="Recursive force delete (rm -rf)" | project="/home/user/projects/api" | command="rm -fr node_modules"
[2026-05-22T10:01:23Z] BLOCKED | pattern="SQL DROP TABLE" | project="/home/user/projects/saas" | command="sqlite3 app.db 'DROP TABLE users;'"
[2026-05-22T10:01:45Z] BLOCKED | pattern="SQL DROP DATABASE" | project="/home/user/projects/saas" | command="mysql -e 'DROP DATABASE production;'"
[2026-05-22T10:02:11Z] BLOCKED | pattern="SQL TRUNCATE" | project="/home/user/projects/saas" | command="psql -c 'TRUNCATE TABLE sessions;'"
[2026-05-22T10:02:38Z] BLOCKED | pattern="SQL DELETE without WHERE clause" | project="/home/user/projects/saas" | command="psql -c 'DELETE FROM users;'"
[2026-05-22T10:03:02Z] BLOCKED | pattern="Force push (git push --force)" | project="/home/user/projects/web" | command="git push --force origin main"
[2026-05-22T10:03:15Z] BLOCKED | pattern="Force push (git push --force)" | project="/home/user/projects/web" | command="git push -f origin develop"
[2026-05-22T10:04:21Z] BLOCKED | pattern="Filesystem format (mkfs)" | project="/home/user" | command="sudo mkfs.ext4 /dev/sdb1"
[2026-05-22T10:05:00Z] BLOCKED | pattern="Direct disk write (dd to /dev/)" | project="/home/user" | command="sudo dd if=image.iso of=/dev/sdb bs=4M"
[2026-05-22T10:06:42Z] BLOCKED | pattern="Recursive permission change on root" | project="/home/user" | command="chmod -R 777 /"
